TP_2078_Tumor	SC_9137_Tumor	TP_2081_T	SC_9175_T	MO_1510_T	SC_9183_T	MO_1084.Tumor	SC_9043.Tumor	MO_1179.Tumor	MO_1184.Tumor	MO_1176.Tumor	MO_1192.Tumor	SC_9050.Tumor	SC_9057.Tumor	MO_1241.Tumor	SC_9080.TM	SC_9083.TM	MO_1336.TM	TP_2060.TM	MO_1410.Tumor	SC_9129_Tumor	PROS01448.1115161.Tumor.SM.5SGU1	PRAD.01115468.Tumor.SM.6B2KE	PRAD.01115549.Tumor.SM.A4KNH	PRAD.01115550.Tumor.SM.A4KNI	PROS12319B.SU2C.06115116.Tumor.SM.4W2NB	PRAD.06115124.Tumor.SM.7LGU1	PROS01448.6115234.Tumor.SM.67ERX	PROS01448.6115235.Tumor.SM.67ERY	PROS01448.6115247.Tumor.SM.67ES2	PROS01448.6115251.Tumor.SM.67ES6	PRAD.6115590.0.Tumor.SM.B2XRS	PRAD.6115594.0.Tumor.SM.B2XRW	PM14.TM	PM158.TM
ZNF653	2.18354346981355	2.86432719612782	2.15235438914929	2.38485152569745	2.27403382066038	2.32059662383859	3.09640781306732	2.65881588619507	2.56840669152281	2.30095020337891	3.23133803903509	3.1807998243421	2.61178347101457	2.43635603822075	2.04650611584429	2.67426430600775	2.612636277393	2.66138872356137	2.19076483540164	1.93054020862428	1.97814059853215	1.88568912871634	1.62978272059432	1.71372369756444	1.08413266206867	1.3174060709126	0.930215474143869	2.56331868646846	3.23585962657022	3.21055814095401	1.75677369838853	2.62116911849349	1.78548985083253	1.39652872833626	2.35017663174964
CASZ1	4.01465458622294	2.92850242838875	3.75082620421339	4.24133815564344	5.28372282072331	4.64196559940327	4.91664278200399	4.58032263071856	2.42552574558965	3.6735265836854	5.89400154317839	4.67764820908207	5.0740694423486	4.87397347361092	2.34688347748708	5.63634314972477	4.36541043496536	3.34208338569974	2.80664975030147	1.98586234821824	4.28995172855166	3.23947797485936	3.14661634399199	3.20875270831168	3.26120806835961	0.974608752789874	1.71735349701194	3.85560370754702	3.46100785738532	4.41613644656161	4.02409958964052	2.85907010737834	2.59304382486087	5.70707179721451	1.83081169639733
ZBED2	0.0069385539959148	0.00548443127683349	0.0334407739235	0.00977886638765416	0.0607272229309683	1.08643598386858	0.00988497900428661	0.00486509761555824	0.0823876861830464	0.0353801556830205	0.00160074626997233	0.0502798286896165	0.3120959566385	0.84101542781291	0.0258698923215723	0.128704615241836	0.000192925486484786	0.00445349011896549	0.627869436295698	0.849499234676901	0.576189080929677	0.00714731977901467	0.157157772549999	0.236538575892964	0.134054605081785	4.84780972803427	0.378489498985393	0.259290467071395	0.00610607861530676	0.0350150805929788	0.163385719725714	0.753324284518411	0.0612762688459767	0.307712397651968	0.319294786259338
GLI1	0.168329162369887	1.54641439577261	1.87737594797113	1.16395761123429	0.790204476595273	1.19833300682464	0.974608752789874	1.57769783451767	2.95587226812186	0.523436083756556	2.38402389314262	1.25245623716843	0.49188120993762	1.5505683107544	0.19602141113636	1.96735068364688	1.25868678211489	1.65326314717727	0.845001569222054	1.0168527798718	1.38733003618513	0.218046819512138	0.359396910321974	0.11827581558536	2.30667428065532	0.593385334776751	2.93908903038247	1.09857282857769	2.42136459313144	2.31404123354191	0.682707205809822	0.55891030374109	0.39405896069331	1.27559041815208	1.74797928142306
BCL6B	1.84577792041552	2.45221411160225	3.58636136708541	2.31977684123693	1.53398460249559	2.52526196366492	1.30021497637415	3.4518277518158	3.98256897155678	3.97219749949219	1.59731250620975	2.63569479185868	2.60922557423206	1.35602499217119	1.59520548675369	1.6248219877224	2.88274823655587	1.74651544668286	2.06688147319639	2.56162340010628	1.84952762162262	1.94354457239617	1.49834732631697	0.330554093841168	5.43630260135812	1.46648661968624	3.5512435530499	1.83828828100208	3.65308938508071	3.11342022234298	3.18890908836693	3.15290649118306	2.57859232747078	0.280328329305506	0.856020642451173
NR1H3	2.23913274262638	2.3931332811266	2.72941063683583	2.53370315348227	2.8127512114815	2.14597758006292	3.63823994777272	2.15155689581362	3.64566318610948	3.57249069772376	2.24237106868369	2.42719088355941	2.53116983918161	2.94173729887033	1.98122783495553	2.66739496907817	2.69490446880766	3.15560321485243	3.98822803813511	3.07495216082383	2.88977440955685	1.71372369756444	1.74505215613917	2.13960795740762	2.15873836102678	5.15686237530713	3.09193476907286	2.44469808793575	3.69770797042711	2.87660423316558	2.41304956059175	2.0340070680201	2.22781209599124	2.16992747619888	1.99591881139524
TBX1	1.75824133269924	3.88375664436047	4.79552840626801	2.84418977494919	3.87249114703791	4.24610062157819	4.12443499139763	3.42798404016938	4.00993344985504	3.86310762810396	5.89892599912778	3.43256659737854	4.62461836605949	4.05907742398798	4.20612048060602	3.0838874157401	3.56232579939137	1.56723699655443	3.20604501622728	2.89592619395711	3.56324963770588	2.2076491874945	1.67330690264139	2.38899117047032	1.45706102139636	0.459086443223277	0.525682155911384	4.08084490238498	4.81488458593489	3.7863167137157	2.56671033252162	3.16639576436237	3.62803785510006	4.77908248490161	0.203376769202456
ZC3H6	1.85854014085167	0.84400399416023	1.01796357434398	1.79955361127302	1.69779363973144	1.26994273229106	1.50243865676536	1.33986424406133	0.958962856417835	0.766913413685622	1.03134647499466	1.64043643228469	1.90615959545662	1.53674262958358	1.92901265437493	1.34696277334492	0.592981925436082	1.39521275585253	0.807580921135246	0.682267986792399	1.19651035248491	2.4355223610068	2.10312327456189	1.96196474503954	0.983302929202452	1.07208469951179	1.41568029064919	1.19833300682464	1.48339218766771	0.946124123821824	1.7079231969039	2.04337851182772	1.40707894223342	2.4488727022586	2.03322688579528
ZBTB11	2.86871016848434	2.85994610077674	2.48487228384766	3.03482586534631	3.52910033448018	3.14661634399199	2.47313233438398	2.78054392125983	2.04181541941081	2.65110195272768	2.56755846739358	3.32751060521348	3.24943335624073	2.75190956735747	2.71904500801268	2.13483547073596	2.59559673417937	2.63655001784933	2.03088705268381	2.27810475245869	2.7970694367857	3.46192615455146	2.74584679735518	2.63740532964052	2.80055209608774	2.75971033247263	2.43052231808706	2.64596315729185	2.45054321626117	2.68199873129192	3.04194949592439	2.02465273864035	3.95994615278924	2.9117616138001	3.33115244776804
FOXE3	0.0514604588944374	0.030329352313531	0.058679964287076	0.00977886638765416	0.256323148964057	0.0247134933334371	0.136220298570513	0.00486509761555824	0.0426969084193681	0.00220786863391063	0.018925030700916	0.155042512789966	0.128174630353321	0.0435825019630027	0.181920248001509	0.0204959945685468	0.007460954811594	0.106554966561631	0.00631380986544193	0.0031228168349174	0.0158234513271968	0.00714731977901467	0.00620991198215219	0.0141837950726246	0.00830017498488774	0.00620991198215219	0.00600230972948222	0.0545068334205795	0.00610607861530676	0.111019844005399	0.0893798446926899	0.0633469212259286	0.236538575892964	9.28363605657631e-05	0.00683426826931263
